Title,Given planned earliest start,Given planned earliest end,Notes,Assigned Resources,Additional Title
Bjj ji,10/15/2023 01:00 PM CDT,10/15/2023 03:00 PM CDT,,,
LHNT meeting,10/15/2023 04:00 PM CDT,10/15/2023 06:00 PM CDT,,,
Software,10/16/2023 09:30 AM CST,10/16/2023 10:45 AM CST,,,
Capstone,10/16/2023 01:00 PM CST,10/16/2023 02:00 PM CST,,,
Fraij 330E OH,10/16/2023 01:00 PM CST,10/16/2023 02:00 PM CST,,,
Networking OH,10/16/2023 02:15 PM CST,10/16/2023 03:45 PM CST,,,
Saccs Scaffold OH,10/16/2023 04:00 PM CST,10/16/2023 05:00 PM CST,,,
Cell Scaffold,10/17/2023 09:30 AM CST,10/17/2023 11:00 AM CST,,,
Fraij 330E OH,10/17/2023 11:00 AM CST,10/17/2023 12:00 PM CST,,,
Networking,10/17/2023 12:00 PM CST,10/17/2023 02:00 PM CST,,,
Volunteering,10/17/2023 04:00 PM CST,10/17/2023 07:00 PM CST,,,
Saccs Scaffold OH,10/17/2023 04:00 PM CST,10/17/2023 05:00 PM CST,,,
Software,10/18/2023 09:30 AM CST,10/18/2023 10:45 AM CST,,,
Capstone,10/18/2023 01:00 PM CST,10/18/2023 02:00 PM CST,,,
Prisha 330E OH,10/18/2023 01:30 PM CST,10/18/2023 03:45 PM CST,,,
Samuel 330E OH,10/18/2023 03:15 PM CST,10/18/2023 04:30 PM CST,,,
Saccs Scaffold OH,10/18/2023 04:00 PM CST,10/18/2023 05:00 PM CST,,,
Officer Meeting,10/18/2023 06:00 PM CST,10/18/2023 08:00 PM CST,,,
Cell Scaffold,10/19/2023 09:30 AM CST,10/19/2023 11:00 AM CST,,,
David 330E OH,10/19/2023 03:00 PM CST,10/19/2023 05:00 PM CST,,,
Networking,10/19/2023 12:00 PM CST,10/19/2023 02:00 PM CST,,,
Bjj ji,10/19/2023 05:00 PM CST,10/19/2023 07:00 PM CST,,,
Saccs Scaffold OH,10/19/2023 04:00 PM CST,10/19/2023 05:00 PM CST,,,
Capstone,10/20/2023 01:00 PM CST,10/20/2023 02:00 PM CST,,,
Capstone Meeting,10/20/2023 02:00 PM CST,10/20/2023 04:00 PM CST,,,
Anna Meeting,10/20/2023 02:30 PM CST,10/20/2023 03:00 PM CST,,,
Bjj,10/20/2023 04:00 PM CST,10/20/2023 06:00 PM CST,,,
Hackathon,10/21/2023 09:00 AM CST,10/22/2023 06:00 PM CST,,,
Bjj ji,10/22/2023 01:00 PM CST,10/22/2023 03:00 PM CST,,,
LHNT meeting,10/22/2023 04:00 PM CST,10/22/2023 06:00 PM CST,,,
Software,10/23/2023 09:30 AM CST,10/23/2023 10:45 AM CST,,,
Capstone,10/23/2023 01:00 PM CST,10/23/2023 02:00 PM CST,,,
Fraij 330E OH,10/23/2023 01:00 PM CST,10/23/2023 02:00 PM CST,,,
Networking OH,10/23/2023 02:15 PM CST,10/23/2023 03:45 PM CST,,,
Saccs Scaffold OH,10/23/2023 04:00 PM CST,10/23/2023 05:00 PM CST,,,
Cell Scaffold,10/24/2023 09:30 AM CST,10/24/2023 11:00 AM CST,,,
Fraij 330E OH,10/24/2023 11:00 AM CST,10/24/2023 12:00 PM CST,,,
Networking,10/24/2023 12:00 PM CST,10/24/2023 02:00 PM CST,,,
Volunteering,10/24/2023 04:00 PM CST,10/24/2023 07:00 PM CST,,,
Saccs Scaffold OH,10/24/2023 04:00 PM CST,10/24/2023 05:00 PM CST,,,
Software,10/25/2023 09:30 AM CST,10/25/2023 10:45 AM CST,,,
Capstone,10/25/2023 01:00 PM CST,10/25/2023 02:00 PM CST,,,
Prisha 330E OH,10/25/2023 01:30 PM CST,10/25/2023 03:45 PM CST,,,
Samuel 330E OH,10/25/2023 03:15 PM CST,10/25/2023 04:30 PM CST,,,
Saccs Scaffold OH,10/25/2023 04:00 PM CST,10/25/2023 05:00 PM CST,,,
Officer Meeting,10/25/2023 06:00 PM CST,10/25/2023 08:00 PM CST,,,
Cell Scaffold,10/26/2023 09:30 AM CST,10/26/2023 11:00 AM CST,,,
David 330E OH,10/26/2023 03:00 PM CST,10/26/2023 05:00 PM CST,,,
Networking,10/26/2023 12:00 PM CST,10/26/2023 02:00 PM CST,,,
Bjj ji,10/26/2023 05:00 PM CST,10/26/2023 07:00 PM CST,,,
Saccs Scaffold OH,10/26/2023 04:00 PM CST,10/26/2023 05:00 PM CST,,,
Capstone,10/27/2023 01:00 PM CST,10/27/2023 02:00 PM CST,,,
Capstone Meeting,10/27/2023 02:00 PM CST,10/27/2023 04:00 PM CST,,,
Anna Meeting,10/27/2023 02:30 PM CST,10/27/2023 03:00 PM CST,,,
Bjj,10/27/2023 04:00 PM CST,10/27/2023 06:00 PM CST,,,
